"date","productionValue"
2014-03-15,92.6329032258064
2014-03-16,92.6409677419355
2014-03-17,92.6490322580645
2014-03-18,92.6570967741935
2014-03-19,92.6651612903226
2014-03-20,92.6732258064516
2014-03-21,92.6812903225806
2014-03-22,92.6893548387097
2014-03-23,92.6974193548387
2014-03-24,92.7054838709677
2014-03-25,92.7135483870968
2014-03-26,92.7216129032258
2014-03-27,92.7296774193548
2014-03-28,92.7377419354839
2014-03-29,92.7458064516129
2014-03-30,92.7538709677419
2014-03-31,92.761935483871
2014-04-01,92.77
2014-04-02,92.784
2014-04-03,92.798
2014-04-04,92.812
2014-04-05,92.826
2014-04-06,92.84
2014-04-07,92.854
2014-04-08,92.868
2014-04-09,92.882
2014-04-10,92.896
2014-04-11,92.91
2014-04-12,92.924
2014-04-13,92.938
2014-04-14,92.952
2014-04-15,92.966
2014-04-16,92.98
2014-04-17,92.994
2014-04-18,93.008
2014-04-19,93.022
2014-04-20,93.036
2014-04-21,93.05
2014-04-22,93.064
2014-04-23,93.078
2014-04-24,93.092
2014-04-25,93.106
2014-04-26,93.12
2014-04-27,93.134
2014-04-28,93.148
2014-04-29,93.162
2014-04-30,93.176
2014-05-01,93.19
2014-05-02,93.2170967741935
2014-05-03,93.2441935483871
2014-05-04,93.2712903225806
2014-05-05,93.2983870967742
2014-05-06,93.3254838709677
2014-05-07,93.3525806451613
2014-05-08,93.3796774193548
2014-05-09,93.4067741935484
2014-05-10,93.4338709677419
2014-05-11,93.4609677419355
2014-05-12,93.488064516129
2014-05-13,93.5151612903226
2014-05-14,93.5422580645161
2014-05-15,93.5693548387097
2014-05-16,93.5964516129032
2014-05-17,93.6235483870968
2014-05-18,93.6506451612903
2014-05-19,93.6777419354839
2014-05-20,93.7048387096774
2014-05-21,93.731935483871
2014-05-22,93.7590322580645
2014-05-23,93.7861290322581
2014-05-24,93.8132258064516
2014-05-25,93.8403225806452
2014-05-26,93.8674193548387
2014-05-27,93.8945161290323
2014-05-28,93.9216129032258
2014-05-29,93.9487096774194
2014-05-30,93.9758064516129
2014-05-31,94.0029032258064
2014-06-01,94.03
2014-06-02,94.0363333333333
2014-06-03,94.0426666666667
2014-06-04,94.049
2014-06-05,94.0553333333333
2014-06-06,94.0616666666667
2014-06-07,94.068
2014-06-08,94.0743333333333
2014-06-09,94.0806666666667
2014-06-10,94.087
2014-06-11,94.0933333333333
2014-06-12,94.0996666666667
2014-06-13,94.106
2014-06-14,94.1123333333333
2014-06-15,94.1186666666667
2014-06-16,94.125
2014-06-17,94.1313333333333
2014-06-18,94.1376666666667
2014-06-19,94.144
2014-06-20,94.1503333333333
2014-06-21,94.1566666666667
2014-06-22,94.163
2014-06-23,94.1693333333333
2014-06-24,94.1756666666667
2014-06-25,94.182
2014-06-26,94.1883333333333
2014-06-27,94.1946666666667
2014-06-28,94.201
2014-06-29,94.2073333333333
2014-06-30,94.2136666666667
2014-07-01,94.22
2014-07-02,94.2338709677419
2014-07-03,94.2477419354839
2014-07-04,94.2616129032258
2014-07-05,94.2754838709677
2014-07-06,94.2893548387097
2014-07-07,94.3032258064516
2014-07-08,94.3170967741935
2014-07-09,94.3309677419355
2014-07-10,94.3448387096774
2014-07-11,94.3587096774194
2014-07-12,94.3725806451613
2014-07-13,94.3864516129032
2014-07-14,94.4003225806452
2014-07-15,94.4141935483871
2014-07-16,94.428064516129
2014-07-17,94.441935483871
2014-07-18,94.4558064516129
2014-07-19,94.4696774193548
2014-07-20,94.4835483870968
2014-07-21,94.4974193548387
2014-07-22,94.5112903225806
2014-07-23,94.5251612903226
2014-07-24,94.5390322580645
2014-07-25,94.5529032258065
2014-07-26,94.5667741935484
2014-07-27,94.5806451612903
2014-07-28,94.5945161290323
2014-07-29,94.6083870967742
2014-07-30,94.6222580645161
2014-07-31,94.6361290322581
2014-08-01,94.65
2014-08-02,94.6667741935484
2014-08-03,94.6835483870968
2014-08-04,94.7003225806452
2014-08-05,94.7170967741935
2014-08-06,94.7338709677419
2014-08-07,94.7506451612903
2014-08-08,94.7674193548387
2014-08-09,94.7841935483871
