commodity|prediction_date|date|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|yhat|sell|buy
oil|2020-10-13|2015-07-14|55.031033534135645|45.01061260112496|55.6833914834397|55.031033534135645|55.031033534135645|-4.746007287849998|-4.746007287849998|-4.746007287849998|50.285026246285646|58.46756105761169|42.760081971068715
oil|2020-10-13|2015-07-15|55.01441938361583|44.83434425227215|55.2783379034574|55.01441938361583|55.01441938361583|-4.697870826144321|-4.697870826144321|-4.697870826144321|50.316548557471506|58.04225479863027|42.592627039658545
oil|2020-10-13|2015-07-16|54.997805233096024|44.98642454847328|55.602665551370116|54.997805233096024|54.997805233096024|-4.733632918223078|-4.733632918223078|-4.733632918223078|50.264172314872944|58.382798828938625|42.73710332104962
oil|2020-10-13|2015-07-17|54.98119108257621|44.710513426700224|55.44791952130308|54.98119108257621|54.98119108257621|-4.738277980741227|-4.738277980741227|-4.738277980741227|50.242913101834986|58.22031549736823|42.47498775536521
oil|2020-10-13|2015-07-18|54.9645769320564|44.97679655692985|55.073747446131556|54.9645769320564|54.9645769320564|-4.785478934931089|-4.785478934931089|-4.785478934931089|50.17909799712531|57.827434818438135|42.72795672908335
oil|2020-10-13|2015-07-19|54.94796278153659|45.170165140973694|55.86949234045182|54.94796278153659|54.94796278153659|-4.810695500758067|-4.810695500758067|-4.810695500758067|50.137267280778524|58.66296695747442|42.911656883925005
oil|2020-10-13|2015-07-20|54.931348631016775|44.61570686939058|55.6695501203573|54.931348631016775|54.931348631016775|-4.843736721078621|-4.843736721078621|-4.843736721078621|50.087611909938154|58.45302762637517|42.38492152592105
oil|2020-10-13|2015-07-21|54.91473448049697|45.23557486257188|55.15652922128403|54.91473448049697|54.91473448049697|-4.858214729748515|-4.858214729748515|-4.858214729748515|50.05651975074845|57.91435568234824|42.973796119443286
oil|2020-10-13|2015-07-22|54.898120329977154|44.49879934808218|55.723941407445494|54.898120329977154|54.898120329977154|-4.881660421153924|-4.881660421153924|-4.881660421153924|50.01645990882323|58.51013847781777|42.27385938067807
oil|2020-10-13|2015-07-23|54.88150617945735|44.99191446852891|55.81912863653274|54.88150617945735|54.88150617945735|-4.993099663011366|-4.993099663011366|-4.993099663011366|49.88840651644598|58.610085068359375|42.742318745102466
oil|2020-10-13|2015-07-24|54.86489202893753|44.52364877738292|55.18249608655918|54.86489202893753|54.86489202893753|-5.076480640423746|-5.076480640423746|-5.076480640423746|49.78841138851379|57.941620890887144|42.29746633851377
oil|2020-10-13|2015-07-25|54.848277878417726|44.22895062482118|55.14997794813087|54.848277878417726|54.848277878417726|-5.204308424208058|-5.204308424208058|-5.204308424208058|49.64396945420967|57.90747684553742|42.01750309358012
oil|2020-10-13|2015-07-26|54.83166372789792|44.104062532158764|55.10897907034271|54.83166372789792|54.83166372789792|-5.310765323669338|-5.310765323669338|-5.310765323669338|49.52089840422858|57.86442802385985|41.89885940555082
