"date","consumptionValue"
2011-05-16,88.3183870967742
2011-05-17,88.3816129032258
2011-05-18,88.4448387096774
2011-05-19,88.508064516129
2011-05-20,88.5712903225807
2011-05-21,88.6345161290323
2011-05-22,88.6977419354839
2011-05-23,88.7609677419355
2011-05-24,88.8241935483871
2011-05-25,88.8874193548387
2011-05-26,88.9506451612903
2011-05-27,89.0138709677419
2011-05-28,89.0770967741935
2011-05-29,89.1403225806452
2011-05-30,89.2035483870968
2011-05-31,89.2667741935484
2011-06-01,89.33
2011-06-02,89.319
2011-06-03,89.308
2011-06-04,89.297
2011-06-05,89.286
2011-06-06,89.275
2011-06-07,89.264
2011-06-08,89.253
2011-06-09,89.242
2011-06-10,89.231
2011-06-11,89.22
2011-06-12,89.209
2011-06-13,89.198
2011-06-14,89.187
2011-06-15,89.176
2011-06-16,89.165
2011-06-17,89.154
2011-06-18,89.143
2011-06-19,89.132
2011-06-20,89.121
2011-06-21,89.11
2011-06-22,89.099
2011-06-23,89.088
2011-06-24,89.077
2011-06-25,89.066
2011-06-26,89.055
2011-06-27,89.044
2011-06-28,89.033
2011-06-29,89.022
2011-06-30,89.011
2011-07-01,89
2011-07-02,89.0596774193548
2011-07-03,89.1193548387097
2011-07-04,89.1790322580645
2011-07-05,89.2387096774194
2011-07-06,89.2983870967742
2011-07-07,89.358064516129
2011-07-08,89.4177419354839
2011-07-09,89.4774193548387
2011-07-10,89.5370967741935
2011-07-11,89.5967741935484
2011-07-12,89.6564516129032
2011-07-13,89.7161290322581
2011-07-14,89.7758064516129
2011-07-15,89.8354838709677
2011-07-16,89.8951612903226
2011-07-17,89.9548387096774
2011-07-18,90.0145161290323
2011-07-19,90.0741935483871
2011-07-20,90.1338709677419
2011-07-21,90.1935483870968
2011-07-22,90.2532258064516
2011-07-23,90.3129032258065
2011-07-24,90.3725806451613
2011-07-25,90.4322580645161
2011-07-26,90.491935483871
2011-07-27,90.5516129032258
2011-07-28,90.6112903225806
2011-07-29,90.6709677419355
2011-07-30,90.7306451612903
2011-07-31,90.7903225806452
2011-08-01,90.85
2011-08-02,90.8209677419355
2011-08-03,90.791935483871
2011-08-04,90.7629032258064
2011-08-05,90.7338709677419
2011-08-06,90.7048387096774
2011-08-07,90.6758064516129
2011-08-08,90.6467741935484
2011-08-09,90.6177419354839
2011-08-10,90.5887096774193
2011-08-11,90.5596774193548
2011-08-12,90.5306451612903
2011-08-13,90.5016129032258
2011-08-14,90.4725806451613
2011-08-15,90.4435483870968
2011-08-16,90.4145161290323
2011-08-17,90.3854838709677
2011-08-18,90.3564516129032
2011-08-19,90.3274193548387
2011-08-20,90.2983870967742
2011-08-21,90.2693548387097
2011-08-22,90.2403225806452
2011-08-23,90.2112903225807
2011-08-24,90.1822580645161
2011-08-25,90.1532258064516
2011-08-26,90.1241935483871
2011-08-27,90.0951612903226
2011-08-28,90.0661290322581
2011-08-29,90.0370967741936
2011-08-30,90.008064516129
2011-08-31,89.9790322580645
2011-09-01,89.95
2011-09-02,89.9206666666667
2011-09-03,89.8913333333333
2011-09-04,89.862
2011-09-05,89.8326666666667
2011-09-06,89.8033333333333
2011-09-07,89.774
2011-09-08,89.7446666666667
2011-09-09,89.7153333333333
2011-09-10,89.686
2011-09-11,89.6566666666667
2011-09-12,89.6273333333333
2011-09-13,89.598
2011-09-14,89.5686666666667
2011-09-15,89.5393333333333
2011-09-16,89.51
2011-09-17,89.4806666666667
2011-09-18,89.4513333333333
2011-09-19,89.422
2011-09-20,89.3926666666667
2011-09-21,89.3633333333333
2011-09-22,89.334
2011-09-23,89.3046666666667
2011-09-24,89.2753333333333
2011-09-25,89.246
2011-09-26,89.2166666666667
2011-09-27,89.1873333333333
2011-09-28,89.158
2011-09-29,89.1286666666667
2011-09-30,89.0993333333333
2011-10-01,89.07
2011-10-02,89.1341935483871
2011-10-03,89.1983870967742
2011-10-04,89.2625806451613
2011-10-05,89.3267741935484
2011-10-06,89.3909677419355
2011-10-07,89.4551612903226
2011-10-08,89.5193548387097
2011-10-09,89.5835483870968
2011-10-10,89.6477419354839
2011-10-11,89.711935483871
2011-10-12,89.7761290322581
2011-10-13,89.8403225806452
2011-10-14,89.9045161290323
