ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|dollarindex|dollarindex_lower|dollarindex_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2021-05-20|41.098887209827915|27.640989703700097|38.26733558141166|41.098887209827915|41.098887209827915|-8.004570965595413|-8.004570965595413|-8.004570965595413|-7.932020835548283|-7.932020835548283|-7.932020835548283|-7.932020835548283|-7.932020835548283|-7.932020835548283|-0.07255013004712992|-0.07255013004712992|-0.07255013004712992|0.0|0.0|0.0|33.0943162442325
2021-05-21|41.04021738546807|27.36964891517466|37.96093521191558|41.04021738546807|41.04021738546807|-8.365823230239176|-8.365823230239176|-8.365823230239176|-7.9678446949060335|-7.9678446949060335|-7.9678446949060335|-7.9678446949060335|-7.9678446949060335|-7.9678446949060335|-0.39797853533314065|-0.39797853533314065|-0.39797853533314065|0.0|0.0|0.0|32.674394155228896
2021-05-22|40.98154756110822|27.512062121348517|38.393438202600066|40.98154756110822|40.98154756110822|-8.28979495605342|-8.28979495605342|-8.28979495605342|-8.131822716007928|-8.131822716007928|-8.131822716007928|-8.131822716007928|-8.131822716007928|-8.131822716007928|-0.1579722400454928|-0.1579722400454928|-0.1579722400454928|0.0|0.0|0.0|32.6917526050548
2021-05-23|40.92287773674838|27.488890947936458|38.43361239950232|40.92287773674838|40.92287773674838|-8.214400095262407|-8.214400095262407|-8.214400095262407|-8.295523494935258|-8.295523494935258|-8.295523494935258|-8.295523494935258|-8.295523494935258|-8.295523494935258|0.08112339967285141|0.08112339967285141|0.08112339967285141|0.0|0.0|0.0|32.70847764148598
2021-05-24|40.86420791238855|27.41455214554464|37.97922543692849|40.86420791238855|40.86420791238855|-8.115571038549135|-8.115571038549135|-8.115571038549135|-8.415438030792542|-8.415438030792542|-8.415438030792542|-8.415438030792542|-8.415438030792542|-8.415438030792542|0.29986699224340735|0.29986699224340735|0.29986699224340735|0.0|0.0|0.0|32.748636873839416
2021-05-25|40.805538088028705|26.618915057111558|37.38862739926705|40.805538088028705|40.805538088028705|-8.50684013489925|-8.50684013489925|-8.50684013489925|-8.643257701541403|-8.643257701541403|-8.643257701541403|-8.643257701541403|-8.643257701541403|-8.643257701541403|0.13641756664215268|0.13641756664215268|0.13641756664215268|0.0|0.0|0.0|32.298697953129455
2021-05-26|40.746868263668865|26.663879277025547|37.29233683895773|40.74686826366887|40.74686826366887|-8.632287289850549|-8.632287289850549|-8.632287289850549|-8.743380236717158|-8.743380236717158|-8.743380236717158|-8.743380236717158|-8.743380236717158|-8.743380236717158|0.11109294686660907|0.11109294686660907|0.11109294686660907|0.0|0.0|0.0|32.11458097381832
2021-05-27|40.68819843930902|26.315804354413828|36.835373826263705|40.68819843930902|40.68819843930902|-8.915461718467089|-8.915461718467089|-8.915461718467089|-8.842911588419833|-8.842911588419833|-8.842911588419833|-8.842911588419833|-8.842911588419833|-8.842911588419833|-0.07255013004725516|-0.07255013004725516|-0.07255013004725516|0.0|0.0|0.0|31.77273672084193
2021-05-28|40.62952861494918|25.666197422514628|36.892301743556764|40.62952861494918|40.62952861494918|-9.276713983110527|-9.276713983110527|-9.276713983110527|-8.87873544777754|-8.87873544777754|-8.87873544777754|-8.87873544777754|-8.87873544777754|-8.87873544777754|-0.3979785353329862|-0.3979785353329862|-0.3979785353329862|0.0|0.0|0.0|31.352814631838655
2021-05-29|40.5678886680706|25.795549288294943|37.17390567578485|40.5678886680706|40.5678886680706|-8.847733363574031|-8.847733363574031|-8.847733363574031|-8.689761123528694|-8.689761123528694|-8.689761123528694|-8.689761123528694|-8.689761123528694|-8.689761123528694|-0.15797224004533778|-0.15797224004533778|-0.15797224004533778|0.0|0.0|0.0|31.720155304496572
2021-05-30|40.50624872119202|26.727757998705524|37.07992669131486|40.50624872119202|40.50624872119202|-8.419386157431797|-8.419386157431797|-8.419386157431797|-8.500509557104873|-8.500509557104873|-8.500509557104873|-8.500509557104873|-8.500509557104873|-8.500509557104873|0.08112339967307805|0.08112339967307805|0.08112339967307805|0.0|0.0|0.0|32.08686256376023
2021-05-31|40.44460877431344|27.25886188498516|38.31335217258192|40.44460877431344|40.44460877431344|-7.967604755367607|-7.967604755367607|-7.967604755367607|-8.26747174761119|-8.26747174761119|-8.26747174761119|-8.26747174761119|-8.26747174761119|-8.26747174761119|0.2998669922435821|0.2998669922435821|0.2998669922435821|0.0|0.0|0.0|32.47700401894583
2021-06-01|40.382968827434844|26.750167446749618|37.704500565020645|40.382968827434844|40.382968827434844|-8.00592150636625|-8.00592150636625|-8.00592150636625|-8.142339073008717|-8.142339073008717|-8.142339073008717|-8.142339073008717|-8.142339073008717|-8.142339073008717|0.13641756664246737|0.13641756664246737|0.13641756664246737|0.0|0.0|0.0|32.377047321068595
2021-06-02|40.321328880556266|27.262899521802062|38.33291052612264|40.321328880556266|40.321328880556266|-7.778416315967209|-7.778416315967209|-7.778416315967209|-7.889509262833643|-7.889509262833643|-7.889509262833643|-7.889509262833643|-7.889509262833643|-7.889509262833643|0.11109294686643324|0.11109294686643324|0.11109294686643324|0.0|0.0|0.0|32.54291256458906
2021-06-03|40.25968893367768|27.470897698121036|37.684469905342276|40.25968893367768|40.25968893367768|-7.7086383992331085|-7.7086383992331085|-7.7086383992331085|-7.636088269185304|-7.636088269185304|-7.636088269185304|-7.636088269185304|-7.636088269185304|-7.636088269185304|-0.0725501300478044|-0.0725501300478044|-0.0725501300478044|0.0|0.0|0.0|32.55105053444457
2021-06-04|40.19804898679909|27.050910004385504|37.74291729161701|40.19804898679909|40.19804898679909|-7.716938318525572|-7.716938318525572|-7.716938318525572|-7.318959783192135|-7.318959783192135|-7.318959783192135|-7.318959783192135|-7.318959783192135|-7.318959783192135|-0.3979785353334376|-0.3979785353334376|-0.3979785353334376|0.0|0.0|0.0|32.481110668273516
2021-06-05|40.13640903992051|27.455903155659104|38.59012920970625|40.13640903992051|40.13640903992051|-7.287957698988472|-7.287957698988472|-7.287957698988472|-7.129985458943289|-7.129985458943289|-7.129985458943289|-7.129985458943289|-7.129985458943289|-7.129985458943289|-0.15797224004518276|-0.15797224004518276|-0.15797224004518276|0.0|0.0|0.0|32.84845134093204
2021-06-06|40.07476909304193|27.303898159558212|38.29082400435613|40.07476909304193|40.07476909304193|-6.859610492847125|-6.859610492847125|-6.859610492847125|-6.940733892519285|-6.940733892519285|-6.940733892519285|-6.940733892519285|-6.940733892519285|-6.940733892519285|0.0811233996721609|0.0811233996721609|0.0811233996721609|0.0|0.0|0.0|33.215158600194805
