ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|yearly|yearly_lower|yearly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2015-01-10|92.94949914332564|91.26567106227266|94.68748110312546|92.94949914332564|92.94949914332564|-0.002425958478792014|-0.002425958478792014|-0.002425958478792014|0.003800143994673938|0.003800143994673938|0.003800143994673938|-0.006226102473465952|-0.006226102473465952|-0.006226102473465952|0.0|0.0|0.0|92.94707318484684
2015-01-11|93.03218910241763|91.40526820207309|94.58174703994791|93.03218910241762|93.03218910241762|-0.032921849069886024|-0.032921849069886024|-0.032921849069886024|-0.0050637164350286045|-0.0050637164350286045|-0.0050637164350286045|-0.027858132634857414|-0.027858132634857414|-0.027858132634857414|0.0|0.0|0.0|92.99926725334775
2015-01-12|93.11487906150961|91.34040147204242|94.65885634589208|93.11487906150961|93.11487906150961|-0.05370011560823713|-0.05370011560823713|-0.05370011560823713|-0.004544166134633278|-0.004544166134633278|-0.004544166134633278|-0.04915594947360385|-0.04915594947360385|-0.04915594947360385|0.0|0.0|0.0|93.06117894590137
2015-01-13|93.19756902060159|91.53578722734169|94.8798472531444|93.19756902060159|93.19756902060159|-0.06951603074140669|-0.06951603074140669|-0.06951603074140669|0.00043693522495672415|0.00043693522495672415|0.00043693522495672415|-0.06995296596636341|-0.06995296596636341|-0.06995296596636341|0.0|0.0|0.0|93.12805298986018
2015-01-14|93.28025897969358|91.46877818866717|94.93587701812328|93.28025897969357|93.28025897969357|-0.08295950090349669|-0.08295950090349669|-0.08295950090349669|0.007151617779884091|0.007151617779884091|0.007151617779884091|-0.09011111868338077|-0.09011111868338077|-0.09011111868338077|0.0|0.0|0.0|93.19729947879009
2015-01-15|93.36294893878556|91.59468034975508|94.84057071654232|93.36294893878556|93.36294893878556|-0.12003445209245202|-0.12003445209245202|-0.12003445209245202|-0.01051239305958067|-0.01051239305958067|-0.01051239305958067|-0.10952205903287134|-0.10952205903287134|-0.10952205903287134|0.0|0.0|0.0|93.24291448669311
2015-01-16|93.44563889787753|91.68288531760463|94.92339228047805|93.44563889787753|93.44563889787753|-0.11937560716545752|-0.11937560716545752|-0.11937560716545752|0.008731578629692071|0.008731578629692071|0.008731578629692071|-0.1281071857951496|-0.1281071857951496|-0.1281071857951496|0.0|0.0|0.0|93.32626329071208
2015-01-17|93.52832885696951|91.71329382657791|95.08997977796528|93.52832885696951|93.52832885696951|-0.1420164185118316|-0.1420164185118316|-0.1420164185118316|0.0038001439946560747|0.0038001439946560747|0.0038001439946560747|-0.1458165625064877|-0.1458165625064877|-0.1458165625064877|0.0|0.0|0.0|93.38631243845768
2015-01-18|93.61101881606149|91.86719556942771|95.12643054695593|93.61101881606149|93.61101881606149|-0.1676905163827819|-0.1676905163827819|-0.1676905163827819|-0.005063716435023666|-0.005063716435023666|-0.005063716435023666|-0.1626267999477582|-0.1626267999477582|-0.1626267999477582|0.0|0.0|0.0|93.44332829967871
2015-01-19|93.63307443385162|91.73698917387443|95.11604659839071|93.63307443385162|93.63307443385162|-0.18308218373407875|-0.18308218373407875|-0.18308218373407875|-0.004544166134617281|-0.004544166134617281|-0.004544166134617281|-0.17853801759946147|-0.17853801759946147|-0.17853801759946147|0.0|0.0|0.0|93.44999225011755
