"date","oilInventory","inventoryChange","nonOPECProductionChange","saudiProductionChange","nonoecdConsumptionChange","oecdConsumptionChange","capacityPercentChange","worldConsumptionChange","worldGDPChange"
2014-10-21,1797998.42857143,158.981304347826,2.76608695652174,-0.130869565217391,2.96391304347826,0.216521739130435,4.2095652173913,1.59304347826087,3.06391304347826
2014-10-22,1796788.28571429,159.690869565217,2.76239130434783,-0.128913043478261,2.94760869565217,0.239347826086957,4.19554347826087,1.59619565217391,3.06510869565217
2014-10-23,1795578.14285714,160.400434782609,2.75869565217391,-0.12695652173913,2.93130434782609,0.262173913043478,4.18152173913044,1.59934782608696,3.06630434782609
2014-10-24,1794368,161.11,2.755,-0.125,2.915,0.285,4.1675,1.6025,3.0675
2014-10-25,1794021,161.819565217391,2.75130434782609,-0.12304347826087,2.89869565217391,0.307826086956522,4.15347826086957,1.60565217391304,3.06869565217391
2014-10-26,1793674,162.529130434783,2.74760869565217,-0.121086956521739,2.88239130434783,0.330652173913043,4.13945652173913,1.60880434782609,3.06989130434783
2014-10-27,1793327,163.238695652174,2.74391304347826,-0.119130434782609,2.86608695652174,0.353478260869565,4.1254347826087,1.61195652173913,3.07108695652174
2014-10-28,1792980,163.948260869565,2.74021739130435,-0.117173913043478,2.84978260869565,0.376304347826087,4.11141304347826,1.61510869565217,3.07228260869565
2014-10-29,1792633,164.657826086957,2.73652173913043,-0.115217391304348,2.83347826086957,0.399130434782609,4.09739130434783,1.61826086956522,3.07347826086957
2014-10-30,1792286,165.367391304348,2.73282608695652,-0.113260869565217,2.81717391304348,0.42195652173913,4.08336956521739,1.62141304347826,3.07467391304348
2014-10-31,1791939,166.076956521739,2.72913043478261,-0.111304347826087,2.80086956521739,0.444782608695652,4.06934782608696,1.6245652173913,3.07586956521739
2014-11-01,1791041.57142857,166.78652173913,2.7254347826087,-0.109347826086957,2.7845652173913,0.467608695652174,4.05532608695652,1.62771739130435,3.0770652173913
2014-11-02,1790144.14285714,167.496086956522,2.72173913043478,-0.107391304347826,2.76826086956522,0.490434782608696,4.04130434782609,1.63086956521739,3.07826086956522
2014-11-03,1789246.71428571,168.205652173913,2.71804347826087,-0.105434782608696,2.75195652173913,0.513260869565217,4.02728260869565,1.63402173913043,3.07945652173913
2014-11-04,1788349.28571429,168.915217391304,2.71434782608696,-0.103478260869565,2.73565217391304,0.536086956521739,4.01326086956522,1.63717391304348,3.08065217391304
2014-11-05,1787451.85714286,169.624782608696,2.71065217391304,-0.101521739130435,2.71934782608696,0.558913043478261,3.99923913043478,1.64032608695652,3.08184782608696
2014-11-06,1786554.42857143,170.334347826087,2.70695652173913,-0.0995652173913043,2.70304347826087,0.581739130434783,3.98521739130435,1.64347826086957,3.08304347826087
2014-11-07,1785657,171.043913043478,2.70326086956522,-0.0976086956521739,2.68673913043478,0.604565217391304,3.97119565217391,1.64663043478261,3.08423913043478
2014-11-08,1785662.14285714,171.75347826087,2.6995652173913,-0.0956521739130435,2.6704347826087,0.627391304347826,3.95717391304348,1.64978260869565,3.0854347826087
2014-11-09,1785667.28571429,172.463043478261,2.69586956521739,-0.093695652173913,2.65413043478261,0.650217391304348,3.94315217391304,1.6529347826087,3.08663043478261
2014-11-10,1785672.42857143,173.172608695652,2.69217391304348,-0.0917391304347826,2.63782608695652,0.67304347826087,3.92913043478261,1.65608695652174,3.08782608695652
2014-11-11,1785677.57142857,173.882173913043,2.68847826086956,-0.0897826086956522,2.62152173913043,0.695869565217391,3.91510869565217,1.65923913043478,3.08902173913043
2014-11-12,1785682.71428571,174.591739130435,2.68478260869565,-0.0878260869565217,2.60521739130435,0.718695652173913,3.90108695652174,1.66239130434783,3.09021739130435
2014-11-13,1785687.85714286,175.301304347826,2.68108695652174,-0.0858695652173913,2.58891304347826,0.741521739130435,3.8870652173913,1.66554347826087,3.09141304347826
2014-11-14,1785693,176.010869565217,2.67739130434783,-0.0839130434782609,2.57260869565217,0.764347826086957,3.87304347826087,1.66869565217391,3.09260869565217
2014-11-15,1785025,176.720434782609,2.67369565217391,-0.0819565217391304,2.55630434782609,0.787173913043478,3.85902173913043,1.67184782608696,3.09380434782609
2014-11-16,1784357,177.43,2.67,-0.08,2.54,0.81,3.845,1.675,3.095
2014-11-17,1783689,178.139565217391,2.66630434782609,-0.0780434782608696,2.52369565217391,0.832826086956522,3.83097826086957,1.67815217391304,3.09619565217391
2014-11-18,1783021,178.849130434783,2.66260869565217,-0.0760869565217391,2.50739130434783,0.855652173913044,3.81695652173913,1.68130434782609,3.09739130434783
2014-11-19,1782353,179.558695652174,2.65891304347826,-0.0741304347826087,2.49108695652174,0.878478260869565,3.8029347826087,1.68445652173913,3.09858695652174
2014-11-20,1781685,180.268260869565,2.65521739130435,-0.0721739130434783,2.47478260869565,0.901304347826087,3.78891304347826,1.68760869565217,3.09978260869565
2014-11-21,1781017,180.977826086957,2.65152173913043,-0.0702173913043478,2.45847826086957,0.924130434782609,3.77489130434783,1.69076086956522,3.10097826086957
2014-11-22,1780854.42857143,181.687391304348,2.64782608695652,-0.0682608695652174,2.44217391304348,0.94695652173913,3.76086956521739,1.69391304347826,3.10217391304348
2014-11-23,1780691.85714286,182.396956521739,2.64413043478261,-0.066304347826087,2.42586956521739,0.969782608695652,3.74684782608696,1.6970652173913,3.10336956521739
2014-11-24,1780529.28571429,183.10652173913,2.6404347826087,-0.0643478260869565,2.4095652173913,0.992608695652174,3.73282608695652,1.70021739130435,3.1045652173913
2014-11-25,1780366.71428571,183.816086956522,2.63673913043478,-0.0623913043478261,2.39326086956522,1.0154347826087,3.71880434782609,1.70336956521739,3.10576086956522
2014-11-26,1780204.14285714,184.525652173913,2.63304347826087,-0.0604347826086956,2.37695652173913,1.03826086956522,3.70478260869565,1.70652173913043,3.10695652173913
2014-11-27,1780041.57142857,185.235217391304,2.62934782608696,-0.0584782608695652,2.36065217391304,1.06108695652174,3.69076086956522,1.70967391304348,3.10815217391304
2014-11-28,1779879,185.944782608696,2.62565217391304,-0.0565217391304348,2.34434782608696,1.08391304347826,3.67673913043478,1.71282608695652,3.10934782608696
2014-11-29,1780920.28571429,186.654347826087,2.62195652173913,-0.0545652173913043,2.32804347826087,1.10673913043478,3.66271739130435,1.71597826086957,3.11054347826087
2014-11-30,1781961.57142857,187.363913043478,2.61826086956522,-0.0526086956521739,2.31173913043478,1.1295652173913,3.64869565217391,1.71913043478261,3.11173913043478
2014-12-01,1783002.85714286,188.07347826087,2.6145652173913,-0.0506521739130435,2.2954347826087,1.15239130434783,3.63467391304348,1.72228260869565,3.1129347826087
2014-12-02,1784044.14285714,188.783043478261,2.61086956521739,-0.048695652173913,2.27913043478261,1.17521739130435,3.62065217391304,1.7254347826087,3.11413043478261
2014-12-03,1785085.42857143,189.492608695652,2.60717391304348,-0.0467391304347826,2.26282608695652,1.19804347826087,3.60663043478261,1.72858695652174,3.11532608695652
2014-12-04,1786126.71428571,190.202173913043,2.60347826086957,-0.0447826086956522,2.24652173913043,1.22086956521739,3.59260869565217,1.73173913043478,3.11652173913043
2014-12-05,1787168,190.911739130435,2.59978260869565,-0.0428260869565217,2.23021739130435,1.24369565217391,3.57858695652174,1.73489130434783,3.11771739130435
2014-12-06,1787337.28571429,191.621304347826,2.59608695652174,-0.0408695652173913,2.21391304347826,1.26652173913043,3.5645652173913,1.73804347826087,3.11891304347826
2014-12-07,1787506.57142857,192.330869565217,2.59239130434783,-0.0389130434782609,2.19760869565217,1.28934782608696,3.55054347826087,1.74119565217391,3.12010869565217
2014-12-08,1787675.85714286,193.040434782609,2.58869565217391,-0.0369565217391304,2.18130434782609,1.31217391304348,3.53652173913044,1.74434782608696,3.12130434782609
2014-12-09,1787845.14285714,193.75,2.585,-0.035,2.165,1.335,3.5225,1.7475,3.1225
