ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|capacityPercentChange|capacityPercentChange_lower|capacityPercentChange_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|inventoryChange|inventoryChange_lower|inventoryChange_upper|nonOPECProductionChange|nonOPECProductionChange_lower|nonOPECProductionChange_upper|nonoecdConsumptionChange|nonoecdConsumptionChange_lower|nonoecdConsumptionChange_upper|oecdConsumptionChange|oecdConsumptionChange_lower|oecdConsumptionChange_upper|oilRigs|oilRigs_lower|oilRigs_upper|saudiProductionChange|saudiProductionChange_lower|saudiProductionChange_upper|weekly|weekly_lower|weekly_upper|worldConsumptionChange|worldConsumptionChange_lower|worldConsumptionChange_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2020-09-29|1988163.4789841822|2057569.9705916317|2067352.7395940535|1988163.4789841822|1988163.4789841822|74096.62747827865|74096.62747827865|74096.62747827865|16251.38218576574|16251.38218576574|16251.38218576574|74074.05406393956|74074.05406393956|74074.05406393956|14032.759675061714|14032.759675061714|14032.759675061714|204501.0133951633|204501.0133951633|204501.0133951633|-63337.42531691045|-63337.42531691045|-63337.42531691045|-29861.193692319946|-29861.193692319946|-29861.193692319946|-97129.0948616243|-97129.0948616243|-97129.0948616243|11588.696265645283|11588.696265645283|11588.696265645283|22.573414339101376|22.573414339101376|22.573414339101376|18027.916413158233|18027.916413158233|18027.916413158233|0.0|0.0|0.0|2062260.106462461
2020-09-30|1987310.3193153245|2056664.9085701215|2066737.9892552088|1987310.3193153245|1987310.3193153245|74305.30206815523|74305.30206815523|74305.30206815523|16193.306846523967|16193.306846523967|16193.306846523967|74384.16175963914|74384.16175963914|74384.16175963914|13964.816681332426|13964.816681332426|13964.816681332426|204862.06973995207|204862.06973995207|204862.06973995207|-62855.798516967545|-62855.798516967545|-62855.798516967545|-29669.798926541513|-29669.798926541513|-29669.798926541513|-96343.31049288668|-96343.31049288668|-96343.31049288668|10288.952855343081|10288.952855343081|10288.952855343081|-78.85969148392189|-78.85969148392189|-78.85969148392189|17943.92357288329|17943.92357288329|17943.92357288329|0.0|0.0|0.0|2061615.6213834798
2020-10-01|1986457.1596464666|2056021.984897476|2065749.5037219275|1986457.1596464668|1986457.1596464668|74543.41439331241|74543.41439331241|74543.41439331241|16152.419073989473|16152.419073989473|16152.419073989473|74580.82601184242|74580.82601184242|74580.82601184242|13896.710739503338|13896.710739503338|13896.710739503338|205249.60647314586|205249.60647314586|205249.60647314586|-62369.22997352453|-62369.22997352453|-62369.22997352453|-29374.674874119126|-29374.674874119126|-29374.674874119126|-95556.21538768792|-95556.21538768792|-95556.21538768792|8968.4483607912|8968.4483607912|8968.4483607912|-37.41161852999862|-37.41161852999862|-37.41161852999862|17613.761599744106|17613.761599744106|17613.761599744106|0.0|0.0|0.0|2061000.5740397791
2020-10-02|1985603.9999776091|2055484.8225435424|2065002.9963067519|1985603.9999776091|1985603.9999776091|74732.0088529981|74732.0088529981|74732.0088529981|16130.531308226064|16130.531308226064|16130.531308226064|74636.89816088193|74636.89816088193|74636.89816088193|13830.949754168241|13830.949754168241|13830.949754168241|205731.63292251556|205731.63292251556|205731.63292251556|-61887.88783640988|-61887.88783640988|-61887.88783640988|-29515.71315175888|-29515.71315175888|-29515.71315175888|-94789.79695211745|-94789.79695211745|-94789.79695211745|7546.781293537428|7546.781293537428|7546.781293537428|95.11069211616433|95.11069211616433|95.11069211616433|17590.400822720854|17590.400822720854|17590.400822720854|0.0|0.0|0.0|2060336.0088306072
2020-10-03|1984750.8403087512|2055235.9709676201|2064447.1179044293|1984750.8403087512|1984750.8403087512|75011.37187903827|75011.37187903827|75011.37187903827|15622.719935765826|15622.719935765826|15622.719935765826|74994.74602698773|74994.74602698773|74994.74602698773|13762.672230945374|13762.672230945374|13762.672230945374|206109.2478689053|206109.2478689053|206109.2478689053|-61378.60646910597|-61378.60646910597|-61378.60646910597|-28006.71736987429|-28006.71736987429|-28006.71736987429|-94025.4976756753|-94025.4976756753|-94025.4976756753|6237.938193367771|6237.938193367771|6237.938193367771|16.6258520505412|16.6258520505412|16.6258520505412|16672.989312659014|16672.989312659014|16672.989312659014|0.0|0.0|0.0|2059762.2121877894
2020-10-04|1983897.6806398935|2054061.998869807|2063941.0105094342|1983897.6806398935|1983897.6806398935|75212.00155965037|75212.00155965037|75212.00155965037|15594.400550416669|15594.400550416669|15594.400550416669|75210.60866138426|75210.60866138426|75210.60866138426|13694.573219362168|13694.573219362168|13694.573219362168|206487.6880233385|206487.6880233385|206487.6880233385|-60868.915010833894|-60868.915010833894|-60868.915010833894|-27818.93719412602|-27818.93719412602|-27818.93719412602|-93262.34436561655|-93262.34436561655|-93262.34436561655|4932.7925225701465|4932.7925225701465|4932.7925225701465|1.392898266126382|1.392898266126382|1.392898266126382|16451.350916273233|16451.350916273233|16451.350916273233|0.0|0.0|0.0|2059109.6821995438
2020-10-05|1983129.2153973237|2053014.7575402553|2062747.026010516|1983129.2153973237|1983129.2153973237|74592.82659338703|74592.82659338703|74592.82659338703|15448.96360231903|15448.96360231903|15448.96360231903|74612.25814014576|74612.25814014576|74612.25814014576|13568.482667185643|13568.482667185643|13568.482667185643|206584.52490785654|206584.52490785654|206584.52490785654|-59940.40406320233|-59940.40406320233|-59940.40406320233|-27360.213021476025|-27360.213021476025|-27360.213021476025|-92285.92539982325|-92285.92539982325|-92285.92539982325|2479.4836434076915|2479.4836434076915|2479.4836434076915|-19.431546758718|-19.431546758718|-19.431546758718|16117.345803878457|16117.345803878457|16117.345803878457|0.0|0.0|0.0|2057722.0419907107
2020-10-06|1982360.7501547537|2051392.813400899|2061293.485033754|1982360.7501547537|1982360.7501547537|73995.87612436317|73995.87612436317|73995.87612436317|15405.392967405922|15405.392967405922|15405.392967405922|73973.3027100239|73973.3027100239|73973.3027100239|13442.807899516061|13442.807899516061|13442.807899516061|206674.48230319677|206674.48230319677|206674.48230319677|-59026.27140812951|-59026.27140812951|-59026.27140812951|-27146.462108416526|-27146.462108416526|-27146.462108416526|-91299.83985184903|-91299.83985184903|-91299.83985184903|33.20887023570566|33.20887023570566|33.20887023570566|22.573414339280085|22.573414339280085|22.573414339280085|15889.984038064475|15889.984038064475|15889.984038064475|0.0|0.0|0.0|2056356.6262791168
2020-10-07|1981592.284912184|2050061.901217491|2059493.136320054|1981592.284912184|1981592.284912184|73329.68194367894|73329.68194367894|73329.68194367894|15332.550069385394|15332.550069385394|15332.550069385394|73408.54163516265|73408.54163516265|73408.54163516265|13317.369650011355|13317.369650011355|13317.369650011355|206766.5205379789|206766.5205379789|206766.5205379789|-58130.60421735993|-58130.60421735993|-58130.60421735993|-26927.713733261528|-26927.713733261528|-26927.713733261528|-90302.68521162166|-90302.68521162166|-90302.68521162166|-2443.555126153035|-2443.555126153035|-2443.555126153035|-78.85969148369666|-78.85969148369666|-78.85969148369666|15796.659666183103|15796.659666183103|15796.659666183103|0.0|0.0|0.0|2054921.966855863
2020-10-08|1980823.8196696143|2048509.8451500623|2058285.0790276588|1980823.8196696143|1980823.8196696143|72692.92549827564|72692.92549827564|72692.92549827564|15276.89473807085|15276.89473807085|15276.89473807085|72730.33711680539|72730.33711680539|72730.33711680539|13191.768452406835|13191.768452406835|13191.768452406835|206885.03916116606|206885.03916116606|206885.03916116606|-57229.99528309012|-57229.99528309012|-57229.99528309012|-26605.23607145881|-26605.23607145881|-26605.23607145881|-89304.21983493313|-89304.21983493313|-89304.21983493313|-4941.080206791454|-4941.080206791454|-4941.080206791454|-37.411618529752225|-37.411618529752225|-37.411618529752225|15457.166161435145|15457.166161435145|15457.166161435145|0.0|0.0|0.0|2053516.7451678899
