"date","productionChange","oilPrice","wheat","corn","worldConsumptionChange","dollarindex","oilInventory","naturalGas","nonoecdConsumptionGrowth","nonoecdGDPGrowth","nonopecDisruption","oecdConsumptionChange","opecDisruption","spareCapacity","soy","capacityPercentChange","volatility","worldGDPChange","consumptionValue","productionValue","oilRigs","dgorder","neworder","meanCoal"
2012-06-06,0.00395604395604396,85.02,6.2425,5.8625,0.0114285714285714,82.32,1758257.71428571,3.15666666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98747252747253,13.8625,0.0117582417582418,35.58,0.039010989010989,90.6766666666667,90.7316666666667,1967.33333333333,219448.666666667,66668.8333333333,42.3
2012-06-07,0.00395604395604396,84.82,6.4175,5.94,0.0114285714285714,82.050003,1758422.85714286,3.174,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98637362637363,14.28,0.0117582417582418,36.9,0.039010989010989,90.706,90.746,1966.4,219617.8,66606.4,42.46
2012-06-08,0.00395604395604396,84.1,6.3025,5.98,0.0114285714285714,82.510002,1758588,3.19133333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98527472527473,14.2625,0.0117582417582418,37.57,0.039010989010989,90.7353333333333,90.7603333333333,1965.46666666667,219786.933333333,66543.9666666667,42.62
2012-06-09,0.00395604395604396,83.6333333333333,6.30333333333333,5.96,0.0114285714285714,82.510002,1760171,3.20866666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98417582417582,14.2575,0.0117582417582418,39.15,0.039010989010989,90.7646666666667,90.7746666666667,1964.53333333333,219956.066666667,66481.5333333333,42.78
2012-06-10,0.00395604395604396,83.1666666666667,6.30416666666667,5.94,0.0114285714285714,82.510002,1761754,3.226,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98307692307692,14.2525,0.0117582417582418,40.73,0.039010989010989,90.794,90.789,1963.6,220125.2,66419.1,42.94
2012-06-11,0.00395604395604396,82.7,6.305,5.92,0.0114285714285714,82.510002,1763337,3.24333333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98197802197802,14.2475,0.0117582417582418,42.31,0.039010989010989,90.8233333333333,90.8033333333333,1962.66666666667,220294.333333333,66356.6666666667,43.1
2012-06-12,0.00395604395604396,83.32,6.16,5.84,0.0114285714285714,82.410004,1764920,3.26066666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.98087912087912,14.35,0.0117582417582418,39.45,0.039010989010989,90.8526666666667,90.8176666666667,1961.73333333333,220463.466666667,66294.2333333333,43.26
2012-06-13,0.00395604395604396,82.62,6.16,5.925,0.0114285714285714,82.050003,1766503,3.278,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97978021978022,14.0825,0.0117582417582418,39.07,0.039010989010989,90.882,90.832,1960.8,220632.6,66231.8,43.42
2012-06-14,0.00395604395604396,83.91,6.235,6.015,0.0114285714285714,81.900002,1768086,3.29533333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97868131868132,13.86,0.0117582417582418,36.19,0.039010989010989,90.9113333333333,90.8463333333333,1959.86666666667,220801.733333333,66169.3666666667,43.4128571428571
2012-06-15,0.00395604395604396,84.09,6.095,5.795,0.0114285714285714,81.589996,1769669,3.31266666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97758241758242,13.76,0.0117582417582418,36.28,0.039010989010989,90.9406666666667,90.8606666666667,1958.93333333333,220970.866666667,66106.9333333333,43.4057142857143
2012-06-16,0.00395604395604396,83.8606666666667,6.16416666666667,5.86166666666667,0.0114285714285714,81.7066646666667,1770040,3.33,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97648351648352,13.7875,0.0117582417582418,35.8666666666667,0.039010989010989,90.97,90.875,1958,221140,66044.5,43.3985714285714
2012-06-17,0.00395604395604396,83.6313333333333,6.23333333333333,5.92833333333333,0.0114285714285714,81.8233333333333,1770411,3.34733333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97538461538462,13.815,0.0117582417582418,35.4533333333333,0.039010989010989,90.9993333333333,90.8893333333333,1957.06666666667,221309.133333333,65982.0666666667,43.3914285714286
2012-06-18,0.00395604395604396,83.402,6.3025,5.995,0.0114285714285714,81.940002,1770782,3.36466666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97428571428571,13.8425,0.0117582417582418,35.04,0.039010989010989,91.0286666666667,90.9036666666667,1956.13333333333,221478.266666667,65919.6333333333,43.3842857142857
2012-06-19,0.00395604395604396,84.222,6.495,6.125,0.0114285714285714,81.370003,1771153,3.382,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97318681318681,14.3375,0.0117582417582418,32.92,0.039010989010989,91.058,90.918,1955.2,221647.4,65857.2,43.3771428571429
2012-06-20,0.00395604395604396,81.52,6.64,6.1175,0.0114285714285714,81.489998,1771524,3.39933333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97208791208791,14.465,0.0117582417582418,34.66,0.039010989010989,91.0873333333333,90.9323333333333,1954.26666666667,221816.533333333,65794.7666666667,43.37
2012-06-21,0.00395604395604396,78.2,6.6175,5.865,0.0114285714285714,82.32,1771895,3.41666666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.97098901098901,14.385,0.0117582417582418,37.52,0.039010989010989,91.1166666666667,90.9466666666667,1953.33333333333,221985.666666667,65732.3333333333,43.4157142857143
